,Trackname,Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Valence,Decade
74,3bWGaqVeYKMlLss40mPgNn,"Hello, I Love You",Waiting for the Sun,The Doors,1968-07-03,133200,59,0.029,0.597,0.554,0.0,0.0766,-14.144,0.0425,117.835,4,0.963,1960
75,44BmNSqH9uZV5OfIjGcER3,River Deep - Mountain High,River Deep-Mountain High,Ike & Tina Turner,1966-01-01,214880,54,0.777,0.389,0.745,0.00159,0.143,-6.998,0.0384,83.037,4,0.271,1960
76,3KiexfmhxHvG5IgAElmTkd,I Saw Her Standing There - Remastered 2009,Please Please Me (Remastered),The Beatles,1963-03-22,173946,64,0.27,0.491,0.801,0.0,0.0665,-9.835,0.0361,160.109,4,0.971,1960
78,2cM6hAcaR3zsh2oYYV2MWU,Wild Thing,Hit Single Anthology,The Troggs,1991-01-01,158250,0,0.721,0.421,0.664,0.00244,0.0851,-10.657,0.0665,201.583,4,0.574,1960
79,60C8zGPTdAAmDshHnMuyfc,Pinball Wizard,Tommy (Remastered 2013 Super Deluxe Edition),The Who,1969-05-23,180943,0,0.0192,0.537,0.716,0.0,0.245,-8.766,0.038,122.873,4,0.452,1960
80,0XnhQGfqfi5CnZXcONJuI5,Good Lovin' - Single Version,The Young Rascals,The Rascals,1966,150906,54,0.00206,0.252,0.507,0.00057,0.325,-13.337,0.0442,196.494,4,0.816,1960
81,1Ay5MiilZj2ZGQLeTWVJ6o,Lodi,Green River (Expanded Edition),Creedence Clearwater Revival,1969-08-03,193293,62,0.324,0.773,0.675,0.000112,0.0896,-8.697,0.0281,126.866,4,0.925,1960
82,52vA3CYKZqZVdQnzRrdZt6,The Times They Are A-Changin',The Times They Are A-Changin',Bob Dylan,1964-01-13,192053,63,0.887,0.389,0.396,0.0,0.0828,-7.999,0.0332,171.86,3,0.585,1960
83,3lN8PP6R2IxbLP05QpYXng,Born To Be Wild - Single Version,Steppenwolf,Steppenwolf,1968-01-01,212893,65,0.262,0.439,0.734,0.333,0.244,-12.168,0.097,145.703,4,0.54,1960
84,48i055G1OT5KxGGftwFxWy,"Oh, Pretty Woman","Oh, Pretty Woman",Roy Orbison,1962,178933,72,0.712,0.619,0.603,0.0,0.0721,-9.481,0.0342,127.433,4,0.958,1960
86,3ohLnESFgYACPMCkoTOzqE,The Twist,The Best Of Chubby Checker 1959-1963,Chubby Checker,2005-01-01,153760,50,0.202,0.533,0.638,0.0,0.0729,-7.13,0.0341,156.663,4,0.937,1960
87,6l7tK5SsMlN8a9ccgeIkpS,Sweet Caroline - Single Version,In My Lifetime,Neil Diamond,1996-10-29,201800,0,0.505,0.556,0.161,4.36e-05,0.28,-13.944,0.0297,126.534,4,0.588,1960
88,39CGrUZUozjtjgAASzzB56,The Sounds of Silence,Greatest Hits,Simon & Garfunkel,1972-06-14,184880,0,0.165,0.436,0.375,0.0,0.294,-13.856,0.0284,107.386,4,0.49,1960
89,18GiV1BaXzPVYpp9rmOg0E,Blowin' in the Wind,The Freewheelin' Bob Dylan,Bob Dylan,1963-05-27,165426,66,0.914,0.38,0.0993,2.32e-05,0.0605,-20.567,0.0509,174.874,4,0.44,1960
90,6lFZbCc7pn6Lme1NP7qQqQ,You Can't Always Get What You Want,Let It Bleed,The Rolling Stones,1969-12-05,448720,64,0.64,0.32,0.62,6.36e-05,0.253,-9.686,0.0594,86.327,4,0.472,1960
91,4hupcimlg3UBbW1kAQ6vrT,Ruby Tuesday,Between The Buttons,The Rolling Stones,1967-01-20,196493,61,0.831,0.524,0.553,0.0,0.174,-10.767,0.0292,104.578,4,0.517,1960
93,3SdingSsFcZDZAyvcJbgAw,Can't Buy Me Love - Remastered 2009,A Hard Day's Night (Remastered),The Beatles,1964-07-10,131866,63,0.283,0.483,0.677,0.0,0.321,-5.91,0.0593,170.72,4,0.842,1960
94,66FSV5dLK5sNLZ00IfHxfD,Bad Moon Rising,Green River (40th Anniversary Edition),Creedence Clearwater Revival,1969-08-03,141600,0,0.0543,0.641,0.774,1.05e-05,0.0473,-5.916,0.0278,89.787,4,0.942,1960
