Year,Length mean,Popularity mean,Acousticness mean,Danceability mean,Energy mean,Instrumentalness mean,Liveness mean,Loudness mean,Speechiness mean,Tempo mean,Time Signature mean,Valence mean,Decade mean,Songs per Year mean,Length standard deviation,Popularity standard deviation,Acousticness standard deviation,Danceability standard deviation,Energy standard deviation,Instrumentalness standard deviation,Liveness standard deviation,Loudness standard deviation,Speechiness standard deviation,Tempo standard deviation,Time Signature standard deviation,Valence standard deviation,Decade standard deviation,Songs per Year standard deviation
2001,4.090325773195876,56.97938144329897,0.10781696907216495,0.6940927835051546,0.7482061855670102,0.023522984845360827,0.18370103092783505,-5.872979381443299,0.10677113402061855,112.92965979381442,3.9896907216494846,0.6784268041237114,2000.0,97.0,0.780417245943683,17.839550735563257,0.12869955440210784,0.12060119216469785,0.14093895975920523,0.10951442454383953,0.1528152080502007,1.9084921239215127,0.0972128163262211,27.952597647582543,0.17647269387598977,0.18742328125766106,0.0,0.0
2002,4.1270867346938775,53.59183673469388,0.1218005193877551,0.6596836734693877,0.7304387755102041,0.010228889387755102,0.1929969387755102,-5.562081632653061,0.11450306122448979,116.91089795918367,3.9693877551020407,0.6058469387755102,2000.0,98.0,0.6921830607693545,19.44849753542522,0.16509499320441148,0.14432391953974563,0.13249983982301386,0.05236019001881053,0.15260490693093154,1.7736179499663018,0.10341040492234041,29.531466261191163,0.22494359580084894,0.2322031350313069,0.0,0.0
2003,4.017755670103093,56.25773195876289,0.1552255381443299,0.6821752577319589,0.7071443298969072,0.04111195814432989,0.14820927835051548,-5.63201030927835,0.1285422680412371,117.62628865979381,3.9587628865979383,0.6159257731958763,2000.0,97.0,0.6525041390304663,17.507307016473778,0.18179000534738876,0.13200086886624376,0.14410311626941555,0.15066665647092561,0.1072909421488232,1.8644055548107763,0.11466416255294881,30.500726401513365,0.32007569980904127,0.22305994769640516,0.0,0.0
2004,3.9105531914893614,55.09574468085106,0.12537871276595744,0.6858617021276596,0.7458404255319149,0.01892777159574468,0.18289574468085107,-5.4132127659574465,0.11942872340425532,117.95820212765958,3.9574468085106385,0.6154372340425532,2000.0,94.0,0.6449976900353949,19.722848029271134,0.18825603885521888,0.15300569959612476,0.16554369875554445,0.0994158271366571,0.14527808774001835,2.074393487586349,0.10350160938163876,29.0113566178517,0.3251101919737195,0.22977515048741576,0.0,0.0
2005,3.9325959999999998,58.27,0.12489821000000001,0.68414,0.68403,0.0171384585,0.179562,-6.018529999999999,0.126916,111.78655,4.0,0.57302,2000.0,100.0,0.6389685201015838,19.274128260495214,0.18389924891571344,0.16121577359726827,0.18181883840790536,0.08579618307534927,0.16695283237604516,2.5488408712529886,0.11162273194501507,26.927324075859516,0.20100756305184225,0.20253539309104834,0.0,0.0
2006,3.8080639175257733,57.43298969072165,0.09012794845360825,0.6506907216494845,0.7305257731958763,0.010403823608247422,0.19967731958762888,-5.370855670103093,0.11904432989690722,116.85223711340205,3.9896907216494846,0.5999896907216494,2000.0,97.0,0.5162962838787367,19.849384549912607,0.1430559665351009,0.16278470961318448,0.15101538917051804,0.07183346389539347,0.1443004753581009,1.7155827179956158,0.10424392864921857,29.906955980790517,0.33834293995468867,0.17894176746252302,0.0,0.0
2007,3.9595614583333334,54.020833333333336,0.10961651770833335,0.6456875,0.7678645833333334,0.015670027083333333,0.17563958333333332,-5.2923125,0.10188854166666667,122.68020833333333,4.020833333333333,0.6089270833333333,2000.0,96.0,0.8085996477822879,23.94422429716575,0.14869775064635604,0.147423365462231,0.14945174329716404,0.08421743438101818,0.14571032942409126,2.014223200471038,0.10028551962408097,26.594429658113572,0.25043821243095876,0.202308375599527,0.0,0.0
2008,3.8700635416666667,52.5625,0.09719674479166666,0.6509479166666666,0.7360000000000001,0.018248523020833334,0.18584479166666668,-5.636208333333333,0.090575,123.09100000000001,3.9791666666666665,0.5450583333333333,2000.0,96.0,0.7171074571344594,24.337025074435132,0.15040470213677698,0.1411806136827027,0.15760790789671358,0.09838781366531799,0.14442004589667684,1.8236728002731577,0.08456243411325086,27.03070889309339,0.3237662141167741,0.2523490167320135,0.0,0.0
2009,3.910968085106383,62.244680851063826,0.09127596808510638,0.6428085106382979,0.7634255319148936,0.017798264787234043,0.19063829787234043,-4.909702127659575,0.08490106382978724,124.11045744680851,3.9893617021276597,0.5623712765957447,2000.0,94.0,0.6182458630209589,13.258948019553461,0.12020029769580547,0.14602866684214244,0.13637609992749627,0.10059595238720971,0.1434094327414419,1.7272872872465646,0.08393445919118273,23.94358328509807,0.1792865700949919,0.21571176139655526,0.0,0.0
2010,3.7652660000000004,55.14,0.108481844,0.64558,0.76077,0.021471822999999998,0.213152,-4.99494,0.09917899999999999,120.32909,4.04,0.557584,2010.0,100.0,0.556574466365554,23.21877505708506,0.16462353816464925,0.1301561750321125,0.1420690438917755,0.10567179437990515,0.1593468654580727,1.7287405284036852,0.09182111208895546,25.868911675106176,0.19694638556693236,0.2078953421237899,0.0,0.0
2011,3.830372448979592,60.13265306122449,0.12227761224489796,0.630234693877551,0.7548469387755101,0.010309382346938775,0.1888204081632653,-5.197336734693877,0.08521938775510204,126.90188775510204,4.010204081632653,0.5423775510204082,2010.0,98.0,0.5414135250521589,20.253872102804024,0.20162245750000904,0.1161462640820384,0.15505671406992075,0.06015569291475209,0.1399065711515298,1.9293377900515987,0.07763441640104322,23.744783885969465,0.10101525445522101,0.2232468244913846,0.0,0.0
2012,3.822819387755102,57.51020408163265,0.10068045918367348,0.6294897959183673,0.7322551020408162,0.020295275612244895,0.20904183673469387,-5.571938775510204,0.08739795918367346,123.37071428571429,3.989795918367347,0.5042683673469388,2010.0,98.0,0.5748287868194514,22.598350864910287,0.18094361448868615,0.13177481924702752,0.16863737165299605,0.12296497115873059,0.1533341240313712,2.3680255153975316,0.08471404170367221,24.840432625679604,0.10101525445522108,0.21558733279398506,0.0,0.0
2013,3.8736340206185567,53.08247422680412,0.12172345360824742,0.631659793814433,0.7232371134020619,0.013806524536082474,0.18085567010309278,-5.636381443298969,0.08084536082474227,117.63087628865979,4.010309278350515,0.5034443298969072,2010.0,97.0,0.7660123095027311,28.834177529703055,0.20585649350963833,0.12182226522324932,0.16506209520939114,0.07747146081481783,0.14544907540174798,1.8653087459101052,0.07691404973060645,23.377456469970582,0.17647269387598977,0.22896367204986187,0.0,0.0
2014,3.8143166666666666,57.96875,0.13256940625,0.6614375,0.7008739583333333,0.018260432395833335,0.192465625,-5.6660625,0.07592395833333333,120.22250000000001,4.0,0.5020583333333334,2010.0,96.0,0.9611584670995691,24.170209207987728,0.20465128047015815,0.1397863642548119,0.16694019366845544,0.09778264163733442,0.13242024954715795,2.2746182597595532,0.06495770728516835,24.57235598112558,0.14509525002200213,0.2380687325196419,0.0,0.0
2015,3.7121480000000004,54.94,0.17443372000000001,0.6467400000000001,0.65621,0.012119333400000001,0.176142,-6.012440000000001,0.072184,118.1851,3.97,0.435301,2010.0,100.0,0.4770658619757088,27.94034771263647,0.22309888080799375,0.13934178747731688,0.15258124479314703,0.08270985496478794,0.1376368550743131,1.8243094629381431,0.0533497848111306,26.865972054521738,0.22270150335361363,0.19473789870209932,0.0,0.0
2016,3.686273333333333,51.477777777777774,0.1538788888888889,0.6586555555555555,0.6588222222222222,0.007462979777777777,0.17762333333333333,-6.1311,0.10565222222222222,116.08905555555555,3.988888888888889,0.47446,2010.0,90.0,0.49269386939946824,29.239509893745936,0.18881370213945142,0.11216001421635846,0.15683431304346393,0.03457887389858951,0.13458212149823723,2.0844391051662,0.0973451051126263,25.397078797055478,0.18325670853606058,0.19460527944153228,0.0,0.0
2017,3.7166285714285716,48.826530612244895,0.1559512551020408,0.7092959183673468,0.6504081632653061,0.0035499584693877554,0.16705816326530612,-5.933765306122449,0.12007959183673468,122.53455102040817,3.9693877551020407,0.4563061224489796,2010.0,98.0,0.6210805314916399,31.84855448667657,0.18317813660997678,0.12224052757210545,0.1522593986220771,0.022882930499319564,0.10344179091610814,2.1420130708978715,0.10963815082030338,27.18447699074339,0.1731504103107606,0.1932682238596965,0.0,0.0
2018,3.4904499999999996,66.9375,0.16903048958333333,0.71446875,0.6610416666666666,0.003584191875,0.160178125,-5.741895833333333,0.122671875,120.26383333333332,3.9895833333333335,0.4752,2010.0,96.0,0.6805741378076539,14.403809803038403,0.19052796945225625,0.12176344219536157,0.14361548931758655,0.02246580040161739,0.12110672388054652,1.8906286477708758,0.10025293454492203,27.82125847948752,0.1773958800130771,0.21176289272873589,0.0,0.0
2019,3.2169134020618557,64.17525773195877,0.2370431649484536,0.709340206185567,0.6208865979381443,0.007291643711340207,0.15174536082474227,-6.274742268041237,0.13460618556701032,123.03459793814433,4.020618556701031,0.48288865979381446,2010.0,97.0,0.5351940636404834,20.87812367311694,0.23047861675709566,0.1387872237303938,0.16104779804770308,0.04460197069354513,0.10895627087335943,2.422135401176471,0.11483900489238638,30.545492328949482,0.2030692330267238,0.21149714136971245,0.0,0.0
