,Trackname,Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Valence,Decade
12,44pN9jfSqY3d3lrKuv3QeN,In Dreams,In Dreams,Roy Orbison,1963-02-01,169160,56,0.67,0.495,0.435,0.00038,0.13,-9.99,0.0286,108.189,4,0.71,1960
13,2exbololsmP1XM2gmBEvAW,Misty,I'll Cry If I Want To,Lesley Gore,1963-06-01,138000,51,0.83,0.534,0.256,4.49e-05,0.206,-13.291,0.0277,97.742,3,0.475,1960
14,2IdwQxhJn9ZE4zIotcCefR,Stormy Weather,At Last!,Etta James,1960,187666,64,0.613,0.262,0.356,0.0,0.175,-8.031,0.0303,174.176,3,0.426,1960
15,4QelFzhVgLomeQhvKrwM1S,Blue Velvet,The Best Of Bobby Vinton,Bobby Vinton,1962,168093,53,0.862,0.376,0.246,0.0,0.155,-9.803,0.0286,80.167,1,0.282,1960
16,3xsOtNxtBW0oTI1OWKAzTm,Walk on By,Make Way for Dionne Warwick,Dionne Warwick,1964,178333,63,0.719,0.7,0.33,8.6e-05,0.136,-9.027,0.0303,98.605,4,0.524,1960
17,7ppPgpUdNPbHhuqYwN2SXu,Fool for You,This Is My Country,The Impressions,1968,172813,39,0.0561,0.457,0.655,0.0,0.505,-7.693,0.0482,80.941,4,0.527,1960
18,1plEmsH26pWSX0WzPchcz1,Where The Boys Are,The Collection,Connie Francis,1996-01-01,157333,40,0.745,0.397,0.368,0.0,0.179,-6.034,0.029,72.066,4,0.39,1960
19,3R8yWUufDclG1sVQgUpwzQ,The Windmills Of Your Mind,Dusty In Memphis,Dusty Springfield,1969-03-31,227840,45,0.733,0.306,0.198,0.0,0.112,-14.368,0.0331,76.291,4,0.218,1960
20,58CUIzSxNpQUFvTCd8tntH,La-La Means I Love You,La La Means I Love You,The Delfonics,1968,200906,58,0.678,0.365,0.548,0.0,0.184,-7.727,0.0288,171.242,4,0.623,1960
21,0zGLlXbHlrAyBN1x6sY0rb,A Sunday Kind Of Love,At Last!,Etta James,1960,196133,67,0.829,0.421,0.285,1.55e-06,0.233,-9.43,0.0293,85.861,4,0.402,1960
